match_key,normalized_type,category,tag1,tag2,tag3
TEX2,Raytheon CT-156 Harvard II,Trainer,Training,Basic Trainer,Twin Turboprop
EC45,Eurocopter EC145,Helicopter - Utility,Utility,Medium Lift,Rotorcraft
C30J,Lockheed C-130J-30 Super Hercules,Tactical Airlift,Tactical Transport,Heavy Lift,Rear Ramp
EC35,Eurocopter EC135,Helicopter - Utility,Utility,Light Lift,Rotorcraft
H60,Sikorsky UH-60 Black Hawk,Helicopter - Transport,Tactical Transport,Medium Lift,Rotorcraft
K35R,Boeing KC-135R Stratotanker,Tanker,Refueling,Aerial Refueling,Quad Engine
DHC1,de Havilland DHC-1 Chipmunk,Trainer,Training,Basic Trainer,Single Engine
C130,Lockheed C-130 Hercules,Tactical Airlift,Tactical Transport,Heavy Lift,Rear Ramp
BE20,Beechcraft King Air 200,Utility,Utility,Multi-Role,Twin Turboprop
C17,Boeing C-17 Globemaster III,Strategic Airlift,Strategic Transport,Heavy Lift,Rear Ramp
EUFI,Eurofighter Typhoon,Fighter / Interceptor,Air Superiority,Multi-Role,Twin Engine
T38,Northrop T-38 Talon,Trainer,Training,Multi-Role,Twin Engine
IL76,Ilyushin Il-76,Strategic Airlift,Strategic Transport,Heavy Lift,Rear Ramp
B350,Beechcraft King Air 350,Utility,Utility,Multi-Role,Twin Turboprop
A10,Fairchild-Republic A-10 Thunderbolt II,Attack / Strike,Close Air Support,Low Altitude,Twin Engine
GLF5,Gulfstream G-V,Business Jet,Utility,Long Range,Jet
BE40,Raytheon Beechjet T-1A Jayhawk,Trainer,Training,Basic Trainer,Jet
HAWK,McDonnell Douglas T-45 Goshawk,Trainer,Training,Carrier Capable,Jet
AS50,Airbus Helicopters AS350 Écureuil,Helicopter - Utility,Utility,Light Lift,Rotorcraft
P8,Boeing P-8 Poseidon,Maritime Patrol,Maritime Patrol,High Endurance,Twin Engine
A139,AgustaWestland AW139,Helicopter - Transport,Utility,Medium Lift,Rotorcraft
F16,General Dynamics F-16 Fighting Falcon,Fighter / Interceptor,Air Superiority,Multi-Role,Jet
PC12,Pilatus PC-12,Utility,Utility,Multi-Role,Single Engine
TOR,Panavia Tornado,Fighter / Interceptor,Strike,Multi-Role,Twin Engine
AS65,Airbus Helicopters AS565 Panther,Helicopter - Maritime,Maritime Patrol,All-Weather,Rotorcraft
B737,Boeing 737,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
NH90,NH Industries NH90,Helicopter - Transport,Tactical Transport,Medium Lift,Rotorcraft
H47,Boeing CH-47 Chinook,Helicopter - Transport,Tactical Transport,Heavy Lift,Rotorcraft
AJET,Dassault-Breguet Alpha Jet,Trainer,Training,Multi-Role,Twin Engine
GLF6,Gulfstream G650,Business Jet,Utility,Long Range,Jet
AN26,Antonov An-26,Tactical Airlift,Tactical Transport,Medium Lift,Twin Turboprop
B762,Boeing 767,Passenger - Widebody,Utility,Long Range,Twin Engine
LJ35,Learjet 35,Business Jet,Utility,Long Range,Twin Engine
C208,Cessna 208 Caravan,Utility,Utility,Multi-Role,Single Engine
AN12,Antonov An-12,Tactical Airlift,Tactical Transport,Heavy Lift,Quad Engine
B407,Bell 407,Helicopter - Utility,Utility,Light Lift,Rotorcraft
KA27,Kamov Ka-27,Helicopter - Maritime,Maritime Patrol,All-Weather,Rotorcraft
B06,Bell 206 JetRanger,Helicopter - Utility,Utility,Light Lift,Rotorcraft
PC21,Pilatus PC-21,Trainer,Training,Multi-Role,Single Engine
H53S,Sikorsky CH-53K King Stallion,Helicopter - Transport,Tactical Transport,Heavy Lift,Rotorcraft
A119,AgustaWestland AW119,Helicopter - Utility,Training,Light Lift,Rotorcraft
A400,Airbus A400M Atlas,Tactical Airlift,Tactical Transport,Heavy Lift,Rear Ramp
